cod_produto,produto,valor_venda,custo_produto,lucro,nota_fiscal,email_cliente,data_criacao_pedido,data_venda,estado,tamanho,canal_venda,forma_pagamento,quantidade
1000,Camiseta Basica,148.29,102.09,46.2,50000,cliente0@email.com,2026-03-21,2026-03-26,RS,42,Loja,Boleto,2
1001,Tenis Corrida,162.49,101.35,61.14,50001,cliente1@email.com,2026-03-24,2026-03-24,BA,M,Loja,Pix,5
1002,Camiseta Basica,395.77,197.66,198.11,50002,cliente2@email.com,2026-01-30,2026-02-03,CE,40,Loja,Cartao,4
1003,Blusa Moletom,110.42,46.44,63.98,50003,cliente3@email.com,2026-04-30,2026-05-03,GO,42,Loja,Cartao,5
1004,Bermuda,58.85,31.52,27.33,50004,cliente4@email.com,2026-03-20,2026-03-22,PR,G,Loja,Cartao,5
1005,Bermuda,399.15,261.17,137.98,50005,cliente5@email.com,2026-01-24,2026-01-24,PE,P,Loja,Cartao,2
1006,Regata Esportiva,127.18,82.99,44.19,50006,cliente6@email.com,2026-02-21,2026-02-25,RJ,41,Online,Cartao,4
1007,Bermuda,270.33,145.86,124.47,50007,cliente7@email.com,2026-03-24,2026-03-24,BA,G,Loja,Pix,2
1008,Bermuda,287.02,193.46,93.56,50008,cliente8@email.com,2026-02-02,2026-02-06,MG,P,Loja,Boleto,1
1009,Tenis Esportivo,258.13,109.85,148.28,50009,cliente9@email.com,2026-02-15,2026-02-17,SP,43,Online,Pix,2
1010,Blusa Moletom,238.74,145.48,93.26,50010,cliente10@email.com,2026-03-06,2026-03-08,SP,G,Online,Boleto,1
1011,Bermuda,270.04,142.82,127.22,50011,cliente11@email.com,2026-01-10,2026-01-14,PE,40,Online,Pix,3
1012,Camiseta Basica,250.37,105.36,145.01,50012,cliente12@email.com,2026-01-20,2026-01-20,SP,42,Online,Cartao,5
1013,Calca Jeans,389.17,254.7,134.47,50013,cliente13@email.com,2026-04-03,2026-04-05,RJ,43,Loja,Pix,5
1014,Tenis Esportivo,310.43,196.18,114.25,50014,cliente14@email.com,2026-04-15,2026-04-17,MG,GG,Online,Cartao,5
1015,Blusa Moletom,170.66,113.47,57.19,50015,cliente15@email.com,2026-01-27,2026-01-31,RJ,41,Online,Pix,3
1016,Bermuda,208.94,132.84,76.1,50016,cliente16@email.com,2026-04-17,2026-04-21,CE,39,Online,Cartao,4
1017,Regata Esportiva,122.96,72.6,50.36,50017,cliente17@email.com,2026-01-11,2026-01-11,SP,G,Online,Pix,5
1018,Tenis Esportivo,338.6,167.27,171.33,50018,cliente18@email.com,2026-01-19,2026-01-19,RS,GG,Online,Pix,5
1019,Camiseta Basica,233.07,152.77,80.3,50019,cliente19@email.com,2026-02-16,2026-02-20,PR,38,Loja,Cartao,4
1020,Regata Esportiva,116.69,69.83,46.86,50020,cliente20@email.com,2026-05-01,2026-05-06,RJ,40,Loja,Boleto,4
1021,Tenis Esportivo,197.67,79.14,118.53,50021,cliente21@email.com,2026-04-20,2026-04-25,PR,41,Loja,Pix,1
1022,Tenis Corrida,171.62,113.03,58.59,50022,cliente22@email.com,2026-04-30,2026-05-01,SP,38,Online,Pix,3
1023,Regata Esportiva,317.32,151.26,166.06,50023,cliente23@email.com,2026-03-12,2026-03-12,PR,P,Loja,Cartao,3
1024,Calca Jeans,383.04,241.55,141.49,50024,cliente24@email.com,2026-01-17,2026-01-17,CE,38,Online,Pix,2
1025,Bermuda,389.62,156.37,233.25,50025,cliente25@email.com,2026-02-26,2026-03-01,CE,43,Online,Cartao,1
1026,Bermuda,303.26,211.83,91.43,50026,cliente26@email.com,2026-03-22,2026-03-26,MG,38,Loja,Pix,2
1027,Camiseta Basica,243.68,160.31,83.37,50027,cliente27@email.com,2026-04-18,2026-04-21,GO,G,Loja,Boleto,1
1028,Blusa Moletom,375.1,182.42,192.68,50028,cliente28@email.com,2026-02-21,2026-02-26,MG,P,Online,Boleto,3
1029,Bermuda,105.57,49.34,56.23,50029,cliente29@email.com,2026-02-26,2026-03-01,PR,M,Online,Pix,5
1030,Regata Esportiva,112.47,57.48,54.99,50030,cliente30@email.com,2026-04-25,2026-04-25,GO,GG,Loja,Boleto,4
1031,Regata Esportiva,177.79,93.39,84.4,50031,cliente31@email.com,2026-03-19,2026-03-23,BA,M,Loja,Pix,2
1032,Tenis Casual,274.27,145.22,129.05,50032,cliente32@email.com,2026-02-06,2026-02-11,RJ,39,Loja,Pix,1
1033,Blusa Moletom,62.03,42.27,19.76,50033,cliente33@email.com,2026-03-15,2026-03-15,MG,43,Online,Boleto,1
1034,Tenis Corrida,219.98,103.51,116.47,50034,cliente34@email.com,2026-02-06,2026-02-11,PE,M,Loja,Pix,5
1035,Camiseta Basica,116.41,60.99,55.42,50035,cliente35@email.com,2026-04-10,2026-04-11,RS,39,Online,Cartao,3
1036,Calca Jeans,371.62,200.66,170.96,50036,cliente36@email.com,2026-02-25,2026-02-27,RS,38,Online,Boleto,5
1037,Calca Jeans,59.39,38.93,20.46,50037,cliente37@email.com,2026-03-31,2026-03-31,MG,GG,Online,Cartao,3
1038,Camiseta Basica,269.87,137.7,132.17,50038,cliente38@email.com,2026-03-10,2026-03-14,RJ,43,Loja,Boleto,5
1039,Regata Esportiva,251.75,136.05,115.7,50039,cliente39@email.com,2026-02-11,2026-02-12,BA,39,Loja,Boleto,2
1040,Tenis Corrida,113.75,47.35,66.4,50040,cliente40@email.com,2026-03-26,2026-03-26,PR,41,Online,Boleto,2
