cod_produto,produto,valor_venda,custo_produto,lucro,nota_fiscal,email_cliente,data_criacao_pedido,data_venda,estado,tamanho,canal_venda,forma_pagamento
P1000,Calça Masculina,286.99,201.08,85.91,NF606384,fwealm@email.com,2025-06-15,2025-06-17,PE,41,Online,Pix
P1001,Tênis Masculino,286.75,203.71,83.04,NF283795,tnfeph@email.com,2025-07-06,2025-07-11,PR,G,Loja,Boleto
P1002,Calça Feminina,271.65,176.9,94.75,NF242831,kukdsc@email.com,2025-04-12,2025-04-13,MG,37,Online,Dinheiro
P1003,Calça Feminina,251.36,144.33,107.03,NF803886,itgjla@email.com,2025-11-15,2025-11-18,RS,37,Loja,Boleto
P1004,Tênis Masculino,125.75,101.77,23.98,NF837855,ohxytn@email.com,2026-02-14,2026-02-19,CE,38,Online,Pix
P1005,Calça Masculina,225.17,162.3,62.87,NF760231,krhith@email.com,2025-02-24,2025-02-24,RJ,M,Online,Cartão
P1006,Camiseta Masculina,217.03,147.96,69.07,NF242864,siipwm@email.com,2026-01-20,2026-01-22,PB,40,Loja,Pix
P1007,Calça Feminina,367.09,197.16,169.93,NF174938,nxlcly@email.com,2026-01-16,2026-01-17,MG,G,Online,Pix
P1008,Calça Feminina,216.11,155.74,60.37,NF425313,yyxzik@email.com,2025-11-30,2025-12-01,PE,M,Online,Pix
P1009,Calça Feminina,361.23,281.93,79.3,NF591469,hrqhux@email.com,2025-04-07,2025-04-08,SP,38,Online,Cartão
P1010,Camiseta Masculina,287.24,211.64,75.6,NF802568,mopday@email.com,2026-04-17,2026-04-22,CE,39,Online,Pix
P1011,Calça Feminina,260.29,201.23,59.06,NF806057,gfrkuc@email.com,2025-07-10,2025-07-10,SP,38,Loja,Boleto
P1012,Camiseta Masculina,139.31,103.82,35.49,NF344034,bmkgxq@email.com,2025-07-22,2025-07-22,PR,39,Loja,Cartão
P1013,Tênis Feminino,107.81,57.59,50.22,NF749612,hyylhp@email.com,2025-12-18,2025-12-21,CE,42,Loja,Pix
P1014,Camiseta Masculina,390.34,277.8,112.54,NF692892,srhvea@email.com,2025-10-18,2025-10-23,CE,36,Online,Boleto
P1015,Tênis Feminino,387.57,247.5,140.07,NF849325,tydfyk@email.com,2025-10-08,2025-10-12,PB,42,Online,Cartão
P1016,Calça Masculina,345.75,198.18,147.57,NF805086,gxtqwp@email.com,2025-07-07,2025-07-10,SP,40,Loja,Boleto
P1017,Camiseta Feminina,250.67,170.75,79.92,NF231631,ppxges@email.com,2025-07-07,2025-07-08,RS,P,Online,Pix
P1018,Camiseta Masculina,401.31,265.85,135.46,NF708161,ojfhes@email.com,2025-02-07,2025-02-11,RJ,41,Online,Dinheiro
P1019,Camiseta Feminina,133.06,109.03,24.03,NF746943,crrtas@email.com,2026-01-15,2026-01-16,RJ,40,Online,Cartão
P1020,Camiseta Masculina,483.2,274.48,208.72,NF727912,uratyt@email.com,2026-04-15,2026-04-17,PR,38,Online,Cartão
P1021,Camiseta Masculina,458.19,240.47,217.72,NF440870,qkhsmm@email.com,2025-04-12,2025-04-15,PR,41,Loja,Cartão
P1022,Camiseta Masculina,443.86,270.76,173.1,NF894773,hootgv@email.com,2026-04-24,2026-04-24,RJ,P,Loja,Cartão
P1023,Camiseta Masculina,517.97,260.47,257.5,NF214086,dmrhqj@email.com,2026-03-17,2026-03-19,PR,M,Online,Cartão
P1024,Calça Masculina,218.46,143.63,74.83,NF225898,ockjro@email.com,2025-02-01,2025-02-01,PE,P,Online,Dinheiro
P1025,Calça Masculina,152.09,101.21,50.88,NF384655,ljjqxv@email.com,2025-05-26,2025-05-31,RS,38,Loja,Cartão
P1026,Tênis Masculino,76.81,52.18,24.63,NF421071,dsuhui@email.com,2025-11-05,2025-11-05,SC,38,Online,Boleto
P1027,Calça Feminina,130.63,106.05,24.58,NF660213,ceiyos@email.com,2025-10-30,2025-11-03,RJ,40,Loja,Boleto
P1028,Calça Feminina,253.79,164.45,89.34,NF304849,mjihim@email.com,2026-04-26,2026-04-29,PB,41,Online,Boleto
